PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Khem Birch,SAS,30,20,9,11,161.8,43,19,32,1,2,4,5,8,17,25,7,8,5,5,6
Meyers Leonard,MIL,31,9,6,3,113.7,43,14,29,7,18,8,9,12,22,34,1,6,2,0,-27
Omer Yurtseven,MIA,25,9,5,4,83.2,40,16,27,3,7,5,6,8,15,23,2,4,2,2,10
Olivier Sarr,OKC,24,9,5,4,113.6,36,15,30,1,8,5,7,12,19,31,4,4,1,5,14
Nerlens Noel,BKN,29,17,4,13,194.7,35,13,36,1,2,8,12,10,36,46,10,13,16,10,-75
Micah Potter,UTA,25,7,4,3,52.4,24,10,15,4,7,0,0,3,13,16,4,2,1,0,-3
Tony Bradley,CHI,25,12,5,7,33.4,19,6,12,3,5,4,4,1,10,11,1,1,1,1,11
Neemias Queta,SAC,23,5,1,4,28.7,12,6,9,0,0,0,2,5,6,11,1,1,0,2,-30
Chance Comanche,POR,27,1,0,1,20.8,7,3,5,0,0,1,4,2,1,3,0,0,0,1,-29
Marko Simonovic,CHI,23,7,3,4,19.6,6,2,7,1,4,1,2,1,1,2,0,0,0,0,15
Mfiondu Kabengele,BOS,25,4,3,1,36.4,6,2,7,0,3,2,2,5,5,10,0,1,2,0,-5
Vernon Carey Jr.,UTA,22,11,8,3,28.5,6,2,8,0,0,2,2,3,8,11,3,2,2,2,-10
